GUID,NetVolume (m³),NetWeight (kg),OuterSurfaceArea (mm²),Area (mm²),Volume (m³),Area per tons (mm²),Net surface area (mm²),Volume (m³).1,Weight (kg),CenterOfGravityX (mm),CenterOfGravityZ (mm),CenterOfGravityY (mm),Height (mm),Length (mm),Width (mm),AnomalyFlag,Scores
0dkpE2BeX8ngBXW0VjXEFI,3.5268104668e-06,0.0,0.0,1481.0199704601405,3.5268104668e-06,53495000.00000001,1000.0,0.0,0.03,1637.5069836451069,21899.91331947736,2233.441722046017,24.0,24.0,8,1,0.2023838817919557
2tGLC$xZb8Wh4KF5O_UPw8,3.5268104668e-06,0.0,0.0,1481.0199704601405,3.5268104668e-06,53495000.00000001,1000.0,0.0,0.03,1638.9376875117468,23904.70378892165,2233.830121417084,24.0,24.0,8,1,0.2023838817919557
123SJZQ$j5mQWUbZp7qWRX,0.0002879965673924,0.0,0.0,79359.12277814039,0.0002879965673924,35103000.0,79000.0,0.0,2.27,3931.18435443749,5995.894415957945,589.8150491204786,100.0,360.0,8,1,0.1622442543038543
3nbcZraPzDR98CtML2eDbr,0.0002879965673924,0.0,0.0,79359.12277814039,0.0002879965673924,35103000.0,79000.0,0.0,2.27,4147.184949312434,2995.8944156923626,265.8156463678117,100.0,360.0,8,1,0.154719252414505
10zF1gQ1jB4g12uRTNCjVI,0.0002879965673924,0.0,0.0,79359.12277814039,0.0002879965673924,35103000.0,79000.0,0.0,2.27,1683.5001035270022,18499.99928474516,1629.499999993511,100.0,360.0,8,1,0.1945071246019027
23rmkcPnv6PRANxh5r$zu2,0.0002879965673924,0.0,0.0,79359.12277814039,0.0002879965673924,35103000.0,79000.0,0.0,2.27,4147.184949312434,2995.8944156923626,4201.184352997279,100.0,360.0,8,1,0.1574256843328794
1VSY$pIyzBuQnxuMZ1OAyc,0.0002879965673924,0.0,0.0,79359.12277814039,0.0002879965673924,35103000.0,79000.0,0.0,2.27,3391.1845834680403,11995.889706018306,1129.814866312187,100.0,360.0,8,1,0.1786406942697815
2h9mzc8K92BRD_YbCZDU0f,0.0002879965673924,0.0,0.0,79359.12277814039,0.0002879965673924,35103000.0,79000.0,0.0,2.27,589.8150491204786,5995.894415957945,535.8156450746343,100.0,360.0,8,1,0.1624672809451727
1JAydw8m93gw29DumiBjXP,0.0002879965673924,0.0,0.0,79359.12277814039,0.0002879965673924,35103000.0,79000.0,0.0,2.27,3337.180074406508,11995.889706018306,1075.8158976586944,100.0,360.0,8,1,0.1786406942697815
27VWdCq454$BjFgr7zyARk,0.0002879965673924,0.0,0.0,79359.12277814039,0.0002879965673924,35103000.0,79000.0,0.0,2.27,3877.184950807142,5995.894415957945,3931.18435443749,100.0,360.0,8,1,0.1581860593354889
3KADUUNxj1tvFio$tIJhWr,0.0002879965673924,0.0,0.0,79359.12277814039,0.0002879965673924,35103000.0,79000.0,0.0,2.27,4417.184949308753,-4.184353636498997,-4.184353636498997,100.0,360.0,8,1,0.1304573511365326
0lKIDfyuT2FhkOoX0iHtWL,0.0002879965673924,0.0,0.0,79359.12277814039,0.0002879965673924,35103000.0,79000.0,0.0,2.27,1129.814866312187,11995.889706018306,1075.8158976586944,100.0,360.0,8,1,0.1811709259652397
