Plate_GUID,Assembly_GUID,Assembly_Name,Assembly_Tag,bolt_count
0HTuUtZs545uGKs$A5rh8H,0WforFZ4X9dxDJ9xpxB7ed,BEAM,A/134,6
0_bhQVZgjCugWMG9pEwXw9,0WforFZ4X9dxDJ9xpxB7ed,BEAM,A/134,6
250cY9h3zFzhlefE54XZOU,1z7NnS8xL3cR1CxgTRvCzh,BEAM,A/99,1
25DkjCbtj1tPdVch9YTBvY,16kSre6XXEXBjzs_hQaZ63,BEAM,A/99,1
1aIruUo1TDo8TLeGJrStcN,3ZqqRYsVTChQjK0Jfey8Lh,BEAM,A/25,2
1VSY$pIyzBuQnxuMZ1OAyc,2qOG8oyVvCrhY8plznFLiW,BEAM,A/25,1
0$qyoLnjP3QxCbOK5ltP3G,0N$4PDckz6Bw9aqYUBCjZh,BEAM,A/25,1
2wCMFNHbH5oRJ5x8r0jbWh,1Jrd8mwD516vl4VWBT4XcY,BEAM,A/25,1
38vVEAP_T0vhiMA_5Ydog1,1nrj5lmdTDGxORO2B8VFvL,BEAM,A/25,2
2Qjvr5p05CaA$ba7$rx_WN,3NmTMI7ov7Q8K7YXHQEKLG,BEAM,A/25,1
3e3bly0IX0fgALH59v8igY,3BrgSYSF5CGxOGF8oOPbrJ,BEAM,A/239,2
1UHgCHLmzB5xF9daoQ8RUf,1Xmx3XpAj6P9DrlDVY8XLE,BEAM,A/45,1
0wqyHub652SReqnkCqcXKS,3ca81FHtrC591$UuBuuCxb,BEAM,A/45,1
0NtrDsiFjDyBlrgx2xaIDP,0DM6XBaaz7bhHH4f1L4Uw2,BEAM,A/45,1
123SJZQ$j5mQWUbZp7qWRX,26EFWP9K92h8XjgBeNRA0k,BEAM,A/25,2
0LtHGoB_93j961R1wzc_18,16EqUtvVbDjAbBCztTfxS1,BEAM,A/25,2
27VWdCq454$BjFgr7zyARk,1IHci1hGP0PeWT8NWvmQ7s,BEAM,A/25,2
3nAK9byLz1bBN8hPJ08NpT,3L71Mz5zX84O94koOV7SaM,BEAM,A/25,2
2dQB9ev$57nOJl5mfWjon7,2m06cv_MD2ZgAlPTRy36PN,BEAM,A/25,2
2zH7gsF1n28BPd70Q792hE,1KJRXABEj0_BB0bqILUw6d,BEAM,A/45,1
2_YOZjuOP5uOPymsKbXlhh,1P8SDcKj945guFgiftjBBq,BEAM,A/37,0
3vt1Jl5fnE8OTp9uJgAaRw,3glPzIPXX5PuRBHwFbM_CO,BEAM,A/25,0
1QUR2DPcH1URpso5xyOL8$,2d3GoPSdrDLw2fP7PTW$hC,BEAM,A/25,1
0K5ggBKTr4GA7eaPkjv1nI,34oK_KE7H5Gg89FRA3Eew8,BEAM,A/37,0
1shmRxrh90tPBCbz8x_OUi,2cRauXM1r86R6M_PT88RKl,BEAM,A/25,2
23rmkcPnv6PRANxh5r$zu2,30rvpLpcHD3OTOBDUWmAzg,BEAM,A/25,2
2XNI$GMkf1O9ppGaNGwO$5,3eoloCKI9C985UlSXcb752,BEAM,A/37,0
2CrwwnJ_X3r89aZC5FCAVa,06fNF7p4z0eOpfD9afr0hf,BEAM,A/37,0
3nbcZraPzDR98CtML2eDbr,3q9$eV7O93aweNSnGSkAt4,BEAM,A/25,2
2IrdoSjrP3tQWbDwy0cLW$,3NXyvoIF1AdfeyqIuj8x6H,BEAM,A/25,2
3tQdVR$dT3jB9IXUN8jeXX,0cyzjX0Gr0ufyJHPXMbh7p,BEAM,A/24,3
0nYhsCHd1CdvN9nmayZeGI,0cyzjX0Gr0ufyJHPXMbh7p,BEAM,A/24,3
3notIippLDR90SbiGL2392,0jBE9dUmn9sAe93h$MwBjp,BEAM,A/24,3
1p1vJshTHFu8zflNEXM0rR,0jBE9dUmn9sAe93h$MwBjp,BEAM,A/24,3
2_qu11Wc5B$PIweFQlKtWE,0jMDCs67bF4gxEstJB$izR,BEAM,A/25,2
2fcCOw8Br8yO0IxGSFxjpC,2CiPJ1ndrDnfgwml_RkZjJ,BEAM,A/25,2
1tqC06bSr8WwBaoFzOhJrV,3n5FrvvJHFRhSP5djfmYBJ,BEAM,A/25,2
3BbsMI2_v1pwlgtr_xrQ5B,2TyyGtRkfEqfPffBn6zpGC,BEAM,A/25,2
16Dq8RfZL4eeU3_GF4CLQ9,3sjeJBf6TATwSDo2ZJoe9M,BEAM,A/25,2
2ZU2kCwOz80w7$Jq0mfKW3,3tr$uHTHr0RPqHlegjlzaI,BEAM,A/28,0
2DDCPijOf10AXwocUOYSh7,3kcnk2bfj1RBlrd_1Bqa5$,BEAM,A/28,0
0UK4Hck9LEShFLIWnbPR7F,3Y7r$P6D5CthDeOUk0idas,BEAM,A/28,0
33Fwg1xgvFaPwmvlURkq4n,0gg8nGWt5E6w2gIhsnvqkd,BEAM,A/77,1
2M55JPhkjCTgGRSnRySAbZ,0On9vdcmX3yQgrZ12ODUIh,BEAM,A/77,1
0YJ$wZb8z2mgODEUPIbPJw,3j6dcJVfvDOxYSBCCvy_Oj,BEAM,A/98,2
3QwOFm1brEEhg4nXQW_aAf,3j6dcJVfvDOxYSBCCvy_Oj,BEAM,A/98,2
3SB3qB9Sz6VeE7Umry6fLz,03IM5ETXbFQfZ5aOcvHAi7,BEAM,A/98,2
0ocwu7e4b10PYUIMLydDlF,03IM5ETXbFQfZ5aOcvHAi7,BEAM,A/98,2
0Sbc7snVbF6QiFxb8F5hsJ,09wBFPrNHFlRsJHePxxGjL,BEAM,A/77,0
10zF1gQ1jB4g12uRTNCjVI,0EpLhusGPFOuLf54xZP0Q6,BEAM,A/77,1
1JAydw8m93gw29DumiBjXP,1kDdjODMX1R8BrzzOkn0BC,BEAM,A/25,2
0lKIDfyuT2FhkOoX0iHtWL,2ApuSdCWn15xjq6R6GqvFI,BEAM,A/25,1
2h9mzc8K92BRD_YbCZDU0f,3nUu790MbF3hPBeaL1ylXK,BEAM,A/25,2
28S_rxGVz71BSUx96fBqcS,07zxeyraj5SOJqJ$U56dLX,BEAM,A/28,0
3KADUUNxj1tvFio$tIJhWr,2twsOAY_XFKPf57oAlGqDw,BEAM,A/25,2
